time,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,Hour of Day,Output Power (from Jon)
1483171200,0.0028,0.33,43.44,43.44,40.26,0.88,1013.48,1.12,1.51,3,0.68,0,10,0,0
1483174800,0.0026,0.26,42.97,42.97,39.39,0.87,1013.26,1.08,1.74,351,1,0,9.42,1,0
1483178400,0.0026,0.17,43.02,43.02,39.68,0.88,1013.46,0.69,1.09,339,0.86,0,10,2,0
1483182000,0,0,43.19,43.19,39.43,0.86,1013.44,0.66,2,341,0.97,0,10,3,0
1483185600,0,0,42.61,42.61,39.69,0.89,1013.2,0.84,1.41,333,0.97,0,10,4,0
1483189200,0.0012,0.24,43.06,43.06,39.67,0.88,1013.16,0.49,1.33,4,0.82,0,10,5,0
1483192800,0.0002,0.12,42.71,42.71,39.77,0.89,1013.59,0.42,0.7,355,0.97,0,10,6,0
1483196400,0,0,43.27,43.27,39.7,0.87,1013.81,0.45,1,353,1,0,10,7,0
1483200000,0,0,43.77,43.77,40.21,0.87,1014.26,0.48,1.57,41,0.97,0,10,8,0
1483203600,0,0,45.21,45.21,40.75,0.84,1014.59,0.56,2.31,34,0.82,1,10,9,0
1483207200,0,0,46.3,46.3,41.05,0.82,1015.16,0.61,1.77,35,1,1,10,10,0.494000018
1483210800,0,0,47.48,47.48,41.27,0.79,1014.51,0.5,1.74,75,1,2,10,11,10.41900063
1483214400,0,0,49.39,49.39,41.57,0.74,1013.35,0.51,2.48,51,1,2,10,12,14.19400024
1483218000,0,0,50.5,50.5,41.27,0.7,1012.38,0.81,3.57,141,0.82,2,10,13,13.56200027
1483221600,0,0,50.2,50.2,41.47,0.72,1011.93,1.28,3.09,133,0.97,1,10,14,7.031000137
1483225200,0,0,50.23,50.23,41.18,0.71,1011.67,0.57,2.38,92,1,0,10,15,12.42000008
1483228800,0,0,49.6,49.6,41.37,0.73,1011.34,1.05,1.88,164,0.86,0,10,16,13.36200047
1483232400,0,0,49.01,49.01,41.84,0.76,1011.37,0.41,1.19,154,0.86,0,10,17,13.98449993
1483236000,0,0,48.11,48.11,42.17,0.8,1011.39,0.29,0.95,113,1,0,10,18,8.532999992
1483239600,0.0013,0.22,47.55,47.55,42.04,0.81,1011.6,0.66,1.4,25,0.86,0,10,19,0.487500012
1483243200,0.0003,0.09,47.21,47.21,42.5,0.84,1011.03,0.63,0.98,17,0.86,0,10,20,0
1483246800,0.0005,0.09,47.03,47.03,42.92,0.86,1011.1,0.34,1.04,97,0.86,0,10,21,0
1483250400,0,0,46.58,46.58,42.81,0.87,1011.24,0.38,1.22,54,1,0,9.41,22,0
1483254000,0,0,46.34,46.34,43.03,0.88,1011.05,0.87,1.39,13,1,0,9.41,23,0
1483257600,0,0,46.28,46.28,43.14,0.89,1010.02,0.74,1.66,15,0.86,0,9.41,0,0
1483261200,0,0,45.98,45.98,41.49,0.84,1009.08,1.01,2.21,334,0.86,0,8.54,1,0
1483264800,0,0,45.12,45.12,41.69,0.88,1008.81,0.59,1.2,359,0.32,0,8.54,2,0
1483268400,0,0,44.34,44.34,41.47,0.9,1008.81,0.71,1.84,309,0.14,0,4.68,3,0
1483272000,0,0,42.84,42.84,40.19,0.9,1008.49,2.06,3.03,308,0.1,0,3.98,4,0
1483275600,0,0,42.1,42.1,39.56,0.91,1008.28,0.48,1.8,338,0.32,0,4.52,5,0
1483279200,0,0,41.58,41.58,38.91,0.9,1008.28,0.56,2.03,320,0.16,0,7.13,6,0
1483282800,0,0,41.19,41.19,37.44,0.86,1008.71,0.95,2.01,311,0.17,0,5.42,7,0
